course_id,title,provider,course_length,effort,subject,price_origin,price,level,num_school,school_1,school_2,school_3,school_4,language,language_origin,url,name,bio,img,basic_info
21,A Law Student's Toolkit,Coursera,3,"3 weeks of study, 5-7 hours/week",Law,Purchase Course ¡¤ US$49 USD,49,null,1,Yale University,,,,English,English,https://www.coursera.org/learn/law-student,"Ian Ayres, William K. Townsend Professor",Yale Law School,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/58/6239d06e8b11e5b3c033a2001b016a/IanAyres.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
22,A Life of Happiness and Fulfillment,Coursera,6,"6 weeks of study, 2-3 hours/week",Psychology,Purchase Course ¡¤ US$49 USD,49,null,1,Indian School of Business,,,,"English, Subtitles: Vietnamese, Spanish, Russian","English, Subtitles: Vietnamese, Spanish, Russian",https://www.coursera.org/learn/happiness,Dr. Rajagopal Raghunathan,Marketing,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/f3/772430c7bf11e4b83e03843ab207d3/raj-r.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
23,A complexidade sens?vel: Um paralelo entre videogames e arte,Coursera,7,"7 semanas de estudo, 2 horas/semana",Music and Art,Purchase Course ¡¤ US$29 USD,29,null,1,Universidade Estadual de Campinas,,,,Portuguese (Brazilian),Portuguese (Brazilian),https://www.coursera.org/learn/videogames,"Julia Stateri, Doutoranda",Instituto de Artes - Departamento de Artes Visuais,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/97/dd88f0c2b711e5a70d255d4d2e8ba0/profile.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
23,A complexidade sens?vel: Um paralelo entre videogames e arte,Coursera,7,"7 semanas de estudo, 2 horas/semana",Music and Art,Purchase Course ¡¤ US$29 USD,29,null,1,Universidade Estadual de Campinas,,,,Portuguese (Brazilian),Portuguese (Brazilian),https://www.coursera.org/learn/videogames,"Edson do Prado Pfutzenreuter , Prof. Dr.",Instituto de Artes - Departamento de Artes Visuais,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/09/a55810d41911e59b43674c82b4e388/edson.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
24,A developer's guide to the Internet of Things (IoT),Coursera,4,"4 weeks of study, 2-4 hours/week",Software Development,Purchase Course ¡¤ US$79 USD,79,Beginner,1,IBM,,,,English,English,https://www.coursera.org/learn/developer-iot,"Brian Innes, Developer Advocate",IBM Watson IoT,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/85/a80c00f72d11e5ba2f15766b30aa20/Picture-of-me-1.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
24,A developer's guide to the Internet of Things (IoT),Coursera,4,"4 weeks of study, 2-4 hours/week",Software Development,Purchase Course ¡¤ US$79 USD,79,Beginner,1,IBM,,,,English,English,https://www.coursera.org/learn/developer-iot,"Yianna Papadakis Kantos, Curriculum Specialist, IoT User Education",IBM Watson IoT,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/64/9fa4a0f74b11e59899777f50fa22aa/YiannaPapadakisKantos.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
25,ADHD: Everyday Strategies for Elementary Students,Coursera,4,"4 weeks of study, 1-2 hours/week",Education,Purchase Course ¡¤ US$49 USD,49,null,2,The State University of New York,The University at Buffalo,,,English,English,https://www.coursera.org/learn/adhd-treatment,"Greg Fabiano, Professor","Department of Counseling, School, and Educational Psychology at The State University of New York at Buffalo",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/54/891620f77611e5a09fe326f8c9e232/Fabiano_headshot.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
26,AIDS: Fear and Hope,Coursera,7,2-4 hours/week,Medicine & Healthcare,Purchase Course ¡¤ US$49 USD,49,null,1,University of Michigan,,,,English,English,https://www.coursera.org/learn/aids-fear-hope,"Richard Meisler, Lecturer","Department of American Culture, University of Michigan",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/8b/b7ffd06f3c11e483e6558cd9ee158c/rmeisler_Portrait_111814.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
27,Academic Information Seeking,Coursera,3,null,Personal Development,Purchase Course ¡¤ US$49 USD,49,null,2,University of Copenhagen,Technical University of Denmark (DTU),,,English,English,https://www.coursera.org/learn/academicinfoseek,"Birgitte Munk, Information Specialist",Copenhagen University Library,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/bf/82911098f611e591f0ad9db7b9f88a/Cirkul_rt_udsnit_2.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
27,Academic Information Seeking,Coursera,3,null,Personal Development,Purchase Course ¡¤ US$49 USD,49,null,2,University of Copenhagen,Technical University of Denmark (DTU),,,English,English,https://www.coursera.org/learn/academicinfoseek,"Thomas Skov Jensen , Information Consultant",Technical University of Denmark,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/15/fa08c098f711e5be006341069a2ff8/Cirkul_rt_udsnit_1.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
